id,brand,name,format,style,mg,grupp
g-3-g3-extra-strong-slim,G.3,G3 Extra Strong Slim,Slim,Original,18 mg/prilla · 20 mg/g,5
g-3-g3-original-stark-slim-portionssnus,G.3,G3 Original Stark Slim Portionssnus,Slim,Original,"13,5 mg/prilla · 15 mg/g",5
g-3-g3-strong-superslim-white,G.3,G3 Strong Superslim White,Superslim,White,"9,6 mg/prilla · 18 mg/g",5
kapten-original-portion,Kapten,Original Portion,Large,Original,"10,2 mg/prilla · 11,3 mg/g",6
kapten-original-stark-portion,Kapten,Original Stark Portion,Large,Original,"12,1 mg/prilla · 13,4 mg/g",6
kapten-vit-portion,Kapten,Vit Portion,Large,White,"11,3 mg/prilla · 12,5 mg/g",6
kapten-vit-stark-portion,Kapten,Vit Stark Portion,Large,White,"13,1 mg/prilla · 14,6 mg/g",6
kronan-portion,Kronan,Portion,Large,Original,"8,3 mg/prilla · 8,5 mg/g",7
kronan-stark-portion,Kronan,Stark Portion,Large,Original,"14,7 mg/prilla · 15 mg/g",7
kronan-stark-vit-portion,Kronan,Stark Vit Portion,Large,White,"10,5 mg/prilla · 12 mg/g",7
kronan-vit-portion,Kronan,Vit Portion,Large,White,"7,9 mg/prilla · 9 mg/g",7
ld-original-portionssnus,LD,Original Portionssnus,Large,Original,9 mg/prilla · 10 mg/g,8
ld-original-stark-portionssnus,LD,Original Stark Portionssnus,Large,Original,"12,6 mg/prilla · 14 mg/g",8
ld-stark-white-portion,LD,Stark White Portion,Large,White,"11,2 mg/prilla · 14 mg/g",8
ld-white-portion,LD,White Portion,Large,White,8 mg/prilla · 10 mg/g,8
vargarda-skog-original-portion,Vårgårda,Skog Original Portion,Large,Original,10 mg/prilla · 10 mg/g,9
vargarda-skog-slim,Vårgårda,Skog Slim,Slim,White,7 mg/prilla · 10 mg/g,9
vargarda-skog-stark,Vårgårda,Skog Stark,Large,White,14 mg/prilla · 14 mg/g,9
vargarda-skog-white-portion,Vårgårda,Skog White Portion,Large,White,10 mg/prilla · 10 mg/g,9
apres-cola-mild-mini,Après,Cola Mild Mini,Mini,White,"3,2 mg/prilla · 8 mg/g",10
apres-menthol-mild-mini,Après,Menthol Mild Mini,Mini,White,"3,2 mg/prilla · 8 mg/g",10
apres-menthol-stark-slim,Après,Menthol Stark Slim,Slim,White,"8,3 mg/prilla · 15 mg/g",10
apres-ice-tea-peach-mild-mini,Après,Ice Tea Peach Mild Mini,Mini,White,"3,2 mg/prilla · 8 mg/g",11
apres-ice-tea-peach-slim,Après,Ice Tea Peach Slim,Slim,White,"4,4 mg/prilla · 8 mg/g",11
apres-ice-tea-peach-stark-slim,Après,Ice Tea Peach Stark Slim,Slim,White,"8,3 mg/prilla · 15 mg/g",11
granit-original-portion,Granit,Original Portion,Large,Original,"7,7 mg/prilla · 9 mg/g",12
granit-original-white-portion,Granit,Original White Portion,Large,White,8 mg/prilla · 10 mg/g,12
granit-stark-white-portion,Granit,Stark White Portion,Large,White,"12,8 mg/prilla · 16 mg/g",12
grov-extra-stark-portion,Grov,Extra Stark Portion,Large,Original,15 mg/prilla · 15 mg/g,13
grov-portion,Grov,Portion,Large,Original,"8,5 mg/prilla · 8,5 mg/g",13
grov-white-portion,Grov,White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",13
klar-mint-extra-strong-mini,KLAR,Mint Extra Strong Mini,Slim,White,"9,4 mg/prilla · 15 mg/g",14
klar-mint-regular-mini,KLAR,Mint Regular Mini,Mini,White,3 mg/prilla · 7 mg/g,14
klar-mint-strong-mini,KLAR,Mint Strong Mini,Mini,White,6 mg/prilla · 14 mg/g,14
ld-salmiak-portionssnus,LD,Salmiak Portionssnus,Large,Original,9 mg/prilla · 10 mg/g,15
ld-salmiak-stark-portionssnus,LD,Salmiak Stark Portionssnus,Large,Original,"12,6 mg/prilla · 14 mg/g",15
ld-salmiak-white-portion,LD,Salmiak White Portion,Large,White,8 mg/prilla · 10 mg/g,15
